Order,Family,Genus,Site_ID,Date,Size,Sample,Count
Ephemeroptera,Baetidae,Baetidae,WEST,6/3/21,>1,1,2
Ephemeroptera,Baetidae,Fallceon,WEST,6/3/21,>1,1,0
Ephemeroptera,Baetidae,Heterocloeon,WEST,6/3/21,>1,1,0
Ephemeroptera,Baetiscidae,Baetisca,WEST,6/3/21,>1,1,0
Ephemeroptera,Caenidae,Brachycercus,WEST,6/3/21,>1,1,0
Ephemeroptera,Caenidae,Caenis,WEST,6/3/21,>1,1,1
Ephemeroptera,Ephemerellidae,Drunella,WEST,6/3/21,>1,1,0
Ephemeroptera,Ephemerellidae,Ephemerella,WEST,6/3/21,>1,1,0
Ephemeroptera,Ephemerellidae,Ephemerellidae,WEST,6/3/21,>1,1,0
Ephemeroptera,Ephemerellidae,Eurylophella,WEST,6/3/21,>1,1,0
Ephemeroptera,Ephemeridae,Ephemera,WEST,6/3/21,>1,1,0
Ephemeroptera,Ephemeridae,Hexagenia,WEST,6/3/21,>1,1,0
Ephemeroptera,Heptageniidae,Epeorus,WEST,6/3/21,>1,1,0
Ephemeroptera,Heptageniidae,Heptageniidae,WEST,6/3/21,>1,1,0
Ephemeroptera ,Heptageniidae,Stenonoma,WEST,6/3/21,>1,1,14
Ephemeroptera ,Isonychidae,Isonychia,WEST,6/3/21,>1,1,0
Ephemeroptera ,Leptohyphidae,Tricorythodes,WEST,6/3/21,>1,1,2
Ephemeroptera ,Leptophlebiidae,Leptophlebiidae,WEST,6/3/21,>1,1,0
Odonata,Aeshnidae,Aeshnidae,WEST,6/3/21,>1,1,0
Odonata,Aeshnidae,Boyeria,WEST,6/3/21,>1,1,0
Odonata,Calopterygidae,Calopteryx,WEST,6/3/21,>1,1,0
Odonata,Cordulegastridae,Cordulegaster,WEST,6/3/21,>1,1,0
Odonata,Gomphidae,Stylogomphus,WEST,6/3/21,>1,1,0
Odonata,Gomphidae,Gomphus,WEST,6/3/21,>1,1,2
Odonata,Gomphidae,Gomphurus,WEST,6/3/21,>1,1,0
Plecoptera,Leuctridae,Leuctridae,WEST,6/3/21,>1,1,0
Plecoptera,Nemouridae,Amphinemura,WEST,6/3/21,>1,1,0
Plecoptera,Nemouridae,Nemoura,WEST,6/3/21,>1,1,0
Plecoptera,Nemouridae,Shipsa,WEST,6/3/21,>1,1,0
Plecoptera,Perlidae,Agnetina,WEST,6/3/21,>1,1,20
Plecoptera,Perlidae,Hansonoperla,WEST,6/3/21,>1,1,0
Plecoptera,Perlidae,Neoperla,WEST,6/3/21,>1,1,0
Plecoptera,Perlidae,Perlidae,WEST,6/3/21,>1,1,0
Plecoptera,Perlodidae,Isoperla,WEST,6/3/21,>1,1,0
Plecoptera,Taeniopterygidae,Oemopteryx,WEST,6/3/21,>1,1,0
Orthoptera,Orthoptera,Orthoptera,WEST,6/3/21,>1,1,0
Hemiptera,Corixidae,Corixidae,WEST,6/3/21,>1,1,1
Hemiptera,Vellidae,Microvelia,WEST,6/3/21,>1,1,0
Hemiptera,Vellidae,Rhagovelia,WEST,6/3/21,>1,1,0
Lepidoptera,Lepidoptera,Lepidoptera_not_Crambidae,WEST,6/3/21,>1,1,0
